"country_name","year","avg_surface_temp_c"
"Kenya",1950,"23.45"
"Kenya",1951,"23.47"
"Kenya",1952,"23.47"
"Kenya",1953,"23.05"
"Kenya",1954,"23.97"
"Kenya",1955,"24.32"
"Kenya",1956,"24.15"
"Kenya",1957,"24.09"
"Kenya",1958,"24.43"
"Kenya",1959,"24.58"
"Kenya",1960,"24.36"
"Kenya",1961,"24.33"
"Kenya",1962,"24"
"Kenya",1963,"23.93"
"Kenya",1964,"24.04"
"Kenya",1965,"24.3"
"Kenya",1966,"24.7"
"Kenya",1967,"24.16"
"Kenya",1968,"23.72"
"Kenya",1969,"24.59"
"Kenya",1970,"24.54"
"Kenya",1971,"24.25"
"Kenya",1972,"24.69"
"Kenya",1973,"25.11"
"Kenya",1974,"24.52"
"Kenya",1975,"24.42"
"Kenya",1976,"24.59"
"Kenya",1977,"24.3"
"Kenya",1978,"24.06"
"Kenya",1979,"24.15"
"Kenya",1980,"25"
"Kenya",1981,"24.63"
"Kenya",1982,"24.62"
"Kenya",1983,"25.15"
"Kenya",1984,"24.74"
"Kenya",1985,"24.45"
"Kenya",1986,"24.63"
"Kenya",1987,"25.33"
"Kenya",1988,"25.04"
"Kenya",1989,"24.43"
"Kenya",1990,"24.56"
"Kenya",1991,"24.84"
"Kenya",1992,"24.77"
"Kenya",1993,"24.65"
"Kenya",1994,"25.03"
"Kenya",1995,"25.09"
"Kenya",1996,"25.08"
"Kenya",1997,"24.94"
"Kenya",1998,"24.82"
"Kenya",1999,"24.95"
"Kenya",2000,"25.16"
"Kenya",2001,"25.03"
"Kenya",2002,"25.11"
"Kenya",2003,"25.28"
"Kenya",2004,"25.29"
"Kenya",2005,"25.62"
"Kenya",2006,"25.38"
"Kenya",2007,"25.38"
"Kenya",2008,"25.33"
"Kenya",2009,"25.76"
"Kenya",2010,"25.52"
"Kenya",2011,"25.52"
"Kenya",2012,"25.38"
"Kenya",2013,"25.24"
"Kenya",2014,"25.52"
"Kenya",2015,"25.76"
"Kenya",2016,"25.75"
"Kenya",2017,"25.85"
"Kenya",2018,"25.13"
"Kenya",2019,"25.92"
"Kenya",2020,"25.52"
"Kenya",2021,"25.84"
"Kenya",2022,"25.71"
"Kenya",2023,"25.66"
"Kenya",2024,"26.09"
"Jordan",1950,"17.97"
"Jordan",1951,"18.35"
"Jordan",1952,"18.69"
"Jordan",1953,"17.46"
"Jordan",1954,"18.47"
"Jordan",1955,"18.77"
"Jordan",1956,"18.26"
"Jordan",1957,"18.5"
"Jordan",1958,"18.77"
"Jordan",1959,"17.39"
"Jordan",1960,"19.11"
"Jordan",1961,"17.81"
"Jordan",1962,"19.36"
"Jordan",1963,"19.08"
"Jordan",1964,"17.53"
"Jordan",1965,"18.49"
"Jordan",1966,"19.08"
"Jordan",1967,"17.25"
"Jordan",1968,"18.69"
"Jordan",1969,"19.18"
"Jordan",1970,"18.59"
"Jordan",1971,"18.29"
"Jordan",1972,"17.98"
"Jordan",1973,"18.49"
"Jordan",1974,"18.34"
"Jordan",1975,"18.09"
"Jordan",1976,"18.12"
"Jordan",1977,"18.53"
"Jordan",1978,"18.95"
"Jordan",1979,"19.33"
"Jordan",1980,"18.85"
"Jordan",1981,"18.67"
"Jordan",1982,"17.52"
"Jordan",1983,"17.71"
"Jordan",1984,"18.28"
"Jordan",1985,"18.84"
"Jordan",1986,"18.62"
"Jordan",1987,"18.83"
"Jordan",1988,"18.54"
"Jordan",1989,"18.64"
"Jordan",1990,"18.75"
"Jordan",1991,"18.64"
"Jordan",1992,"17.44"
"Jordan",1993,"18.69"
"Jordan",1994,"19.04"
"Jordan",1995,"18.83"
"Jordan",1996,"19.47"
"Jordan",1997,"18.42"
"Jordan",1998,"19.84"
"Jordan",1999,"19.61"
"Jordan",2000,"19.04"
"Jordan",2001,"19.68"
"Jordan",2002,"19.2"
"Jordan",2003,"19.24"
"Jordan",2004,"19.21"
"Jordan",2005,"19.09"
"Jordan",2006,"19.03"
"Jordan",2007,"19.35"
"Jordan",2008,"19.48"
"Jordan",2009,"19.48"
"Jordan",2010,"21.36"
"Jordan",2011,"18.97"
"Jordan",2012,"19.9"
"Jordan",2013,"19.5"
"Jordan",2014,"19.74"
"Jordan",2015,"19.78"
"Jordan",2016,"20.19"
"Jordan",2017,"20.18"
"Jordan",2018,"20.58"
"Jordan",2019,"19.96"
"Jordan",2020,"20.39"
"Jordan",2021,"20.71"
"Jordan",2022,"20.15"
"Jordan",2023,"20.66"
"Jordan",2024,"20.61"
"Pakistan",1950,"19.23"
"Pakistan",1951,"20.08"
"Pakistan",1952,"19.97"
"Pakistan",1953,"19.61"
"Pakistan",1954,"20.1"
"Pakistan",1955,"20"
"Pakistan",1956,"19.73"
"Pakistan",1957,"19.22"
"Pakistan",1958,"20.46"
"Pakistan",1959,"20"
"Pakistan",1960,"19.98"
"Pakistan",1961,"19.47"
"Pakistan",1962,"19.58"
"Pakistan",1963,"20.51"
"Pakistan",1964,"19.51"
"Pakistan",1965,"20.23"
"Pakistan",1966,"20.08"
"Pakistan",1967,"19.59"
"Pakistan",1968,"19.7"
"Pakistan",1969,"20.37"
"Pakistan",1970,"20.46"
"Pakistan",1971,"20.41"
